Nom,Rareté,Qté,Prix_min_EUR,Valeur_ligne_EUR
Dragon de cuivre ancien,Mythique,1,90.82,90.82
Volonté de Jeska,Rare,1,31.26,31.26
Arme de souffle,Commune,2,9.4,18.8
Archéologue passionné,Mythique,1,15.6,15.6
Bâton dédoublant,Rare,1,14.64,14.64
Surrak et Griffeboyaux,Rare,1,14.09,14.09
Aide de Sigarda,Rare,1,13.1,13.1
Employée sinistre,Rare,1,12.79,12.79
Elixir de mille ans,Rare,1,11.95,11.95
Red Elemental Blast,Rare,2,5.55,11.1
Jouissance des richesses,Rare,1,10.92,10.92
Xorn,Rare,1,10.27,10.27
Dosan la feuille tombante,Rare,1,10.19,10.19
Tromperie selon Tibalt,Rare,1,9.57,9.57
Muse née des graines,Rare,1,9.46,9.46
Tribut à l'Arbre-monde,Rare,1,9.28,9.28
"Zopandrel, Dominus de la faim",Mythique,1,9.21,9.21
Bâton de domination,Rare,1,9.16,9.16
Starnheim aspirant,Peu Commune,1,8.84,8.84
Aspirante de Starheim,Peu Commune,1,8.84,8.84
Chasseur vengeur,Commune,1,8.53,8.53
"Prosper, lié au grimoire",Mythique,1,8.43,8.43
"Teyo, tacticien géométrique",Rare,1,8.21,8.21
"Chandra, fournaise éveillée",Mythique,1,7.01,7.01
"Délina, mage sauvage",Rare,1,6.95,6.95
Ad Nauseam,Mythique,1,6.91,6.91
Ensorceleur de magie sauvage,Rare,1,6.8,6.8
Cloudstone Curio,Mythique,1,6.36,6.36
Fabricateur de l'académie,Rare,1,6.1,6.1
Wulfgar du Valbise,Rare,1,6.07,6.07
Partage du butin,Rare,1,6.01,6.01
Solacier incandescent,Rare,1,5.9,5.9
"Rapine, explorateur exubérant",Rare,2,2.65,5.3
Blâme infernal,Rare,1,5.29,5.29
Coût de la guerre,Rare,1,5.21,5.21
"Kambal, consul de l'attribution",Rare,1,5.06,5.06
Emancipation ardente,Mythique,1,5.05,5.05
Ankh de Mishra,Rare,1,4.99,4.99
Pluie de richesses,Rare,1,4.96,4.96
Réverbération de blessure,Rare,1,4.81,4.81
Sauvegarde de Tamiyo,Commune,1,4.74,4.74
Croisade cathare,Rare,1,4.7,4.7
Seigneur bandit hobgobelin,Rare,1,4.6,4.6
Magewright's Stone,Peu Commune,1,4.54,4.54
Casseuse de figure professionnelle,Rare,1,4.5,4.5
Charme de Boros,Peu Commune,1,4.5,4.5
Anneau solaire,Peu Commune,5,0.83,4.15
Suspicion enfiévrée,Rare,1,4.13,4.13
Bourse magique de Bucknard,Peu Commune,1,4.11,4.11
Bâton de parachèvement,Mythique,1,4.08,4.08
Rune de garde providentielle,Rare,1,4.06,4.06
"Zur, intrigant éternel",Mythique,1,4.06,4.06
Le Voile de Chaîne,Mythique,1,3.93,3.93
Prix de la gloire,Peu Commune,1,3.86,3.86
Elite Lame-héron,Rare,1,3.86,3.86
Bottes de piedagile,Peu Commune,4,0.96,3.84
"Karn, le grand créateur",Rare,1,3.66,3.66
"Nattes, cauchemar éveillé",Rare,1,3.61,3.61
Retour au pays,Peu Commune,3,1.2,3.6
Doublure d'étincelles,Rare,1,3.53,3.53
Pinacle de l'hélice,Rare,1,3.53,3.53
Lièvre présumé,Commune,2,1.76,3.52
Exterminer,Peu Commune,1,3.51,3.51
Aubaine inattendue,Commune,1,3.32,3.32
"Téfeiri, celui qui ralentit le crépuscule",Mythique,1,3.25,3.25
"Torbran, Thane de Mont Rouge",Rare,1,3.24,3.24
Jambières d'éclair,Peu Commune,1,3.08,3.08
Mage ambisort,Rare,1,3.05,3.05
Zo-zu le châtieur,Rare,1,3.05,3.05
